category,path,name,size
Water Resources,314block-wise-irrigation-potential-utilised-through-deep-tubewells-2nd-census-minor-irrigati,Block wise Irrigation potential utilised through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94),0.271 MB
Water Resources,314district-wise-irrigation-potential-utilised-through-deep-tubewells-2nd-census-minor-irrig,District wise Irrigation potential utilised through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94),0.02 MB
Water Resources,314statewise-irrigation-potential-utilised-through-deep-tubewells-2nd-census-minor-irrigatio,Statewise Irrigation potential utilised through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,314village-wise-irrigation-potential-utilised-through-deep-tubewells-2nd-census-minor-irriga,Village wise Irrigation potential utilised through Deep Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94),2.07 MB
Water Resources,315block-wise-distribution-deep-tubewells-according-irrigation-through-supplementary-source-,Block wise Distribution of Deep Tubewells according to Irrigation through supplementary source  for 2nd Census of Minor Irrigation Schemes (1993-94),0.28 MB
Water Resources,315district-wise-distribution-deep-tubewells-according-irrigation-through-supplementary-sour,District wise Distribution of Deep Tubewells according to Irrigation through supplementary source  for 2nd Census of Minor Irrigation Schemes (1993-94),0.018 MB
Water Resources,315statewise-distribution-deep-tubewells-according-irrigation-through-supplementary-source-2,Statewise Distribution of Deep Tubewells according to Irrigation through supplementary source  for 2nd Census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,315village-wise-distribution-deep-tubewells-according-irrigation-through-supplementary-sourc,Village wise Distribution of Deep Tubewells according to Irrigation through supplementary source  for 2nd Census of Minor Irrigation Schemes (1993-94),2.01 MB
Water Resources,316block-wise-distribution-deep-tubewells-according-constraints-2nd-census-minor-irrigation-,Block wise Distribution of Deep Tubewells according to the constraints for 2nd Census of Minor Irrigation Schemes (1993-94),0.327 MB
Water Resources,316district-wise-distribution-deep-tubewells-according-constraints-2nd-census-minor-irrigati,District wise Distribution of Deep Tubewells according to the constraints for 2nd Census of Minor Irrigation Schemes (1993-94),0.022 MB
Water Resources,316statewise-distribution-deep-tubewells-according-constraints-2nd-census-minor-irrigation-s,Statewise Distribution of Deep Tubewells according to the constraints for 2nd Census of Minor Irrigation Schemes (1993-94),0.002 MB
Water Resources,316village-wise-distribution-deep-tubewells-according-constraints-2nd-census-minor-irrigatio,Village wise Distribution of Deep Tubewells according to the constraints for 2nd Census of Minor Irrigation Schemes (1993-94),2.24 MB
Water Resources,31block-wise-construction-deep-tubewells-over-years-2nd-census-minor-irrigation-schemes-1993,Block wise Construction of Deep Tubewells over the years for 2nd Census of Minor Irrigation Schemes (1993-94),0.341 MB
Water Resources,31district-wise-construction-deep-tubewells-over-years-2nd-census-minor-irrigation-schemes-1,District wise Construction of Deep Tubewells over the years for 2nd Census of Minor Irrigation Schemes (1993-94),0.023 MB
Water Resources,31state-wise-construction-deep-tubewells-over-years-2nd-census-minor-irrigation-schemes-1993,State wise Construction of Deep Tubewells over the years for 2nd Census of Minor Irrigation Schemes (1993-94),0.002 MB
Water Resources,31village-wise-construction-deep-tubewells-over-years-2nd-census-minor-irrigation-schemes-19,Village wise Construction of Deep Tubewells over the years for 2nd Census of Minor Irrigation Schemes (1993-94),2.29 MB
Water Resources,32block-wise-distribution-deep-tubewells-according-ownership-2nd-census-minor-irrigation-sch,Block wise Distribution of Deep Tubewells according to ownership for 2nd Census of Minor Irrigation Schemes (1993-94),0.311 MB
Water Resources,32district-wise-distribution-deep-tubewells-according-ownership-2nd-census-minor-irrigation-,District wise Distribution of Deep Tubewells according to ownership for 2nd Census of Minor Irrigation Schemes (1993-94),0.02 MB
Water Resources,32statewise-distribution-deep-tubewells-according-ownership-2nd-census-minor-irrigation-sche,Statewise Distribution of Deep Tubewells according to ownership for 2nd Census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,32village-wise-distribution-deep-tubewells-according-ownership-2nd-census-minor-irrigation-s,Village wise Distribution of Deep Tubewells according to ownership for 2nd Census of Minor Irrigation Schemes (1993-94),2.16 MB
Water Resources,33block-wise-distribution-deep-tubewells-according-farmers-holding-size-2nd-census-minor-irr,Block wise Distribution of Deep Tubewells according to The Farmers holding size for 2nd Census of Minor Irrigation Schemes (1993-94),0.28 MB
Water Resources,33district-wise-distribution-deep-tubewells-according-farmers-holding-size-2nd-census-minor-,District wise Distribution of Deep Tubewells according to The Farmers holding size for 2nd Census of Minor Irrigation Schemes (1993-94),0.017 MB
Water Resources,33statewise-distribution-deep-tubewells-according-farmers-holding-size-2nd-census-minor-irri,Statewise Distribution of Deep Tubewells according to The Farmers holding size for 2nd Census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,33village-wise-distribution-deep-tubewells-according-farmers-holding-size-2nd-census-minor-i,Village wise Distribution of Deep Tubewells according to The Farmers holding size for 2nd Census of Minor Irrigation Schemes (1993-94),2.02 MB
Water Resources,34block-wise-distribution-deep-tubewells-according-social-status-2nd-census-minor-irrigation,Block wise Distribution of Deep Tubewells according to Social status for 2nd Census of Minor Irrigation Schemes (1993-94),0.265 MB
Water Resources,34district-wise-distribution-deep-tubewells-according-social-status-2nd-census-minor-irrigat,District wise Distribution of Deep Tubewells according to Social status for 2nd Census of Minor Irrigation Schemes (1993-94),0.016 MB
Water Resources,34statewise-distribution-deep-tubewells-according-social-status-2nd-census-minor-irrigation-,Statewise Distribution of Deep Tubewells according to Social status for 2nd Census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,34village-wise-distribution-deep-tubewells-according-social-status-2nd-census-minor-irrigati,Village wise Distribution of Deep Tubewells according to Social status for 2nd Census of Minor Irrigation Schemes (1993-94),1.95 MB
Water Resources,35block-wise-distribution-deep-tubewells-status-2nd-census-minor-irrigation-schemes-1993-94,Block wise Distribution of Deep Tubewells by Status for 2nd Census of Minor Irrigation Schemes (1993-94),0.311 MB
Water Resources,35district-wise-distribution-deep-tubewells-status-2nd-census-minor-irrigation-schemes-1993-,District wise Distribution of Deep Tubewells by Status for 2nd Census of Minor Irrigation Schemes (1993-94),0.02 MB
Water Resources,35statewise-distribution-deep-tubewells-status-2nd-census-minor-irrigation-schemes-1993-94,Statewise Distribution of Deep Tubewells by Status for 2nd Census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,35village-wise-distribution-deep-tubewells-status-2nd-census-minor-irrigation-schemes-1993-9,Village wise Distribution of Deep Tubewells by Status for 2nd Census of Minor Irrigation Schemes (1993-94),2.16 MB
Water Resources,36block-wise-distribution-deep-tubewells-according-source-finance-2nd-census-minor-irrigatio,Block wise Distribution of Deep Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94),0.296 MB
Water Resources,36district-wise-distribution-deep-tubewells-according-source-finance-2nd-census-minor-irriga,District wise Distribution of Deep Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94),0.019 MB
Water Resources,36statewise-distribution-deep-tubewells-according-source-finance-2nd-census-minor-irrigation,Statewise Distribution of Deep Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,36village-wise-distribution-deep-tubewells-according-source-finance-2nd-census-minor-irrigat,Village wise Distribution of Deep Tubewells according to source of Finance for 2nd Census of Minor Irrigation Schemes (1993-94),2.09 MB
Water Resources,37block-wise-deep-tubewells-according-water-distribution-system-2nd-census-minor-irrigation-,Block wise Deep Tubewells according to Water Distribution System for 2nd Census of Minor Irrigation Schemes (1993-94),0.297 MB
Water Resources,37district-wise-deep-tubewells-according-water-distribution-system-2nd-census-minor-irrigati,District wise Deep Tubewells according to Water Distribution System for 2nd Census of Minor Irrigation Schemes (1993-94),0.019 MB
Water Resources,37statewise-deep-tubewells-according-water-distribution-system-2nd-census-minor-irrigation-s,Statewise Deep Tubewells according to Water Distribution System for 2nd Census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,37village-wise-deep-tubewells-according-water-distribution-system-2nd-census-minor-irrigatio,Village wise Deep Tubewells according to Water Distribution System for 2nd Census of Minor Irrigation Schemes (1993-94),2.09 MB
Water Resources,38block-wise-distribution-deep-tubewells-according-water-lifting-device-2nd-census-minor-irr,Block wise Distribution of Deep Tubewells according to Water Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94),0.267 MB
Water Resources,38district-wise-distribution-deep-tubewells-according-water-lifting-device-2nd-census-minor-,District wise Distribution of Deep Tubewells according to Water Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94),0.017 MB
Water Resources,38statewise-distribution-deep-tubewells-according-water-lifting-device-2nd-census-minor-irri,Statewise Distribution of Deep Tubewells according to Water Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,38village-wise-distribution-deep-tubewells-according-water-lifting-device-2nd-census-minor-i,Village wise Distribution of Deep Tubewells according to Water Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94),1.96 MB
Water Resources,39block-wise-distribution-deep-tubewells-according-horse-power-lifting-device-2nd-census-min,Block wise Distribution of Deep Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94),0.282 MB
Water Resources,39district-wise-distribution-deep-tubewells-according-horse-power-lifting-device-2nd-census-,District wise Distribution of Deep Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94),0.018 MB
Water Resources,39statewise-distribution-deep-tubewells-according-horse-power-lifting-device-2nd-census-mino,Statewise Distribution of Deep Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,39village-wise-distribution-deep-tubewells-according-horse-power-lifting-device-2nd-census-m,Village wise Distribution of Deep Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94),2.03 MB
Water Resources,411blockwise-culturable-command-area-and-potential-created-through-surface-flow-scheme,Blockwise Culturable command area and potential created through Surface Flow Scheme for 2nd census of Minor Irrigation Schemes (1993-94),0.272 MB
Water Resources,411districtwise-culturable-command-area-and-potential-created-through-surface-flow-scheme,Districtwise Culturable command area and potential created through Surface Flow Scheme for 2nd census of Minor Irrigation Schemes (1993-94),0.022 MB
Water Resources,411statewise-culturable-command-area-and-potential-created-through-surface-flow-scheme,Statewise Culturable command area and potential created through Surface Flow Scheme for 2nd census of Minor Irrigation Schemes (1993-94),0.002 MB
Water Resources,411villagewise-culturable-command-area-and-potential-created-through-surface-flow-scheme,Villagewise Culturable command area and potential created through Surface Flow Scheme for 2nd census of Minor Irrigation Schemes (1993-94),5.59 MB
Water Resources,412blockwise-irrigation-potential-utilised-under-surface-flow-schemes,Blockwise Irrigation potential utilised under Surface Flow Schemes for 2nd census of Minor Irrigation Schemes (1993-94),0.257 MB
Water Resources,412districtwise-irrigation-potential-utilised-under-surface-flow-schemes,Districtwise Irrigation potential utilised under Surface Flow Schemes for 2nd census of Minor Irrigation Schemes (1993-94),0.019 MB
Water Resources,412statewise-irrigation-potential-utilised-under-surface-flow-schemes,Statewise Irrigation potential utilised under Surface Flow Schemes for 2nd census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,412villagewise-irrigation-potential-utilised-under-surface-flow-schemes,Villagewise Irrigation potential utilised under Surface Flow Schemes for 2nd census of Minor Irrigation Schemes (1993-94),5.26 MB
Water Resources,413blockwise-irrigation-through-supplementary-sources-under-surface-flow-schemes,Blockwise Irrigation through supplementary sources under Surface Flow Schemes for 2nd census of Minor Irrigation Schemes (1993-94),0.242 MB
Water Resources,413districtwise-irrigation-through-supplementary-sources-under-surface-flow-schemes,Districtwise Irrigation through supplementary sources under Surface Flow Schemes for 2nd census of Minor Irrigation Schemes (1993-94),0.016 MB
Water Resources,413statewise-irrigation-through-supplementary-sources-under-surface-flow-schemes,Statewise Irrigation through supplementary sources under Surface Flow Schemes for 2nd census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,413villagewise-irrigation-through-supplementary-sources-under-surface-flow-schemes,Villagewise Irrigation through supplementary sources under Surface Flow Schemes for 2nd census of Minor Irrigation Schemes (1993-94),5.14 MB
Water Resources,414blockwise-surface-flow-schemes-according-constraints,Blockwise Surface Flow Schemes according to the constraints for 2nd census of Minor Irrigation Schemes (1993-94),0.293 MB
Water Resources,414districtwise-surface-flow-schemes-according-constraints,Districtwise Surface Flow Schemes according to the constraints for 2nd census of Minor Irrigation Schemes (1993-94),0.021 MB
Water Resources,414statewise-surface-flow-schemes-according-constraints,Statewise Surface Flow Schemes according to the constraints for 2nd census of Minor Irrigation Schemes (1993-94),0.002 MB
Water Resources,414villagewise-surface-flow-schemes-according-constraints,Villagewise Surface Flow Schemes according to the constraints for 2nd census of Minor Irrigation Schemes (1993-94),5.76 MB
Water Resources,41blockwise-distribution-surface-flow-schemes-consutructed-over-years,Blockwise Distribution of surface flow schemes consutructed over the years for 2nd census of Minor Irrigation Schemes (1993-94),0.3 MB
Water Resources,41blockwise-surface-flow-schemes-average-length-water-conveyance-channel,Blockwise Surface Flow Schemes Average length of water conveyance channel for 2nd census of Minor Irrigation Schemes (1993-94),0.257 MB
Water Resources,41districtwise-distribution-surface-flow-schemes-consutructed-over-years,Districtwise Distribution of surface flow schemes consutructed over the years for 2nd census of Minor Irrigation Schemes (1993-94),0.021 MB
Water Resources,41districtwise-surface-flow-schemes-average-length-water-conveyance-channel,Districtwise Surface Flow Schemes Average length of water conveyance channel for 2nd census of Minor Irrigation Schemes (1993-94),0.017 MB
Water Resources,41statewise-construction-surface-flow-schemes-over-years-2nd-census-minor-irrigation-schemes,Statewise construction of Surface Flow schemes over the years for 2nd census of Minor Irrigation Schemes (1993-94),0.002 MB
Water Resources,41statewise-surface-flow-schemes-average-length-water-conveyance-channel,Statewise Surface Flow Schemes Average length of water conveyance channel for 2nd census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,41villagewise-distribution-surface-flow-schemes-consutructed-over-years,Villagewise Distribution of surface flow schemes consutructed over the years for 2nd census of Minor Irrigation Schemes (1993-94),5.95 MB
Water Resources,41villagewise-surface-flow-schemes-average-length-water-conveyance-channel,Villagewise Surface Flow Schemes Average length of water conveyance channel for 2nd census of Minor Irrigation Schemes (1993-94),5.1 MB
Water Resources,42blockwise-distribution-surface-flow-schemes-according-owner-ship,Blockwise Distribution of surface flow schemes according to ownership for 2nd census of Minor Irrigation Schemes (1993-94),0.274 MB
Water Resources,42districtwise-distribution-surface-flow-schemes-according-owner-ship,Districtwise Distribution of surface flow schemes according to ownership for 2nd census of Minor Irrigation Schemes (1993-94),0.019 MB
Water Resources,42statewise-distribution-surface-flow-schemes-according-owner-ship,Statewise Distribution of surface flow schemes according to ownership for 2nd census of minor irrigation scheme (1993-94),0.001 MB
Water Resources,42villagewise-distribution-surface-flow-schemes-according-owner-ship,Villagewise Distribution of surface flow schemes according to ownership for 2nd census of Minor Irrigation Schemes (1993-94),5.55 MB
Water Resources,43blockwise-distribution-surface-flow-schemes-according-holding-size,Blockwise Distribution of Surface Flow Schemes according to the holding size for 2nd census of Minor Irrigation Schemes (1993-94),0.244 MB
Water Resources,43districtwise-distribution-surface-flow-schemes-according-holding-size,Districtwise Distribution of Surface Flow Schemes according to the holding size for 2nd census of Minor Irrigation Schemes (1993-94),0.017 MB
Water Resources,43statewise-distribution-surface-flow-schemes-according-holding-size,Statewise Distribution of Surface Flow Schemes according to the holding size for 2nd census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,43villagewise-distribution-surface-flow-schemes-according-holding-size,Villagewise Distribution of Surface Flow Schemes according to the holding size for 2nd census of Minor Irrigation Schemes (1993-94),5.14 MB
Water Resources,44blockwise-distribution-surface-flow-schemes-according-social-status,Blockwise Distribution of Surface Flow Schemes according to social status for 2nd census of Minor Irrigation Schemes (1993-94),0.23 MB
Water Resources,44districtwise-distribution-surface-flow-schemes-according-social-status,Districtwise Distribution of Surface Flow Schemes according to social status for 2nd census of Minor Irrigation Schemes (1993-94),0.015 MB
Water Resources,44statewise-distribution-surface-flow-schemes-according-social-status,Statewise Distribution of Surface Flow Schemes according to social status for 2nd census of minor irrigation scheme (1993-94),0.001 MB
Water Resources,44villagewise-distribution-surface-flow-schemes-according-social-status,Villagewise Distribution of Surface Flow Schemes according to social status for 2nd census of Minor Irrigation Schemes (1993-94),4.95 MB
Water Resources,45blockwise-distribution-surface-flow-schemes-its-type,Blockwise Distribution of Surface Flow Schemes by its type for 2nd census of Minor Irrigation Schemes (1993-94),0.248 MB
Water Resources,45districtwise-distribution-surface-flow-schemes-its-type,Districtwise Distribution of Surface Flow Schemes by its type for 2nd census of Minor Irrigation Schemes (1993-94),0.017 MB
Water Resources,45statewise-distribution-surface-flow-schemes-its-type,Statewise Distribution of Surface Flow Schemes by its type for 2nd census of minor irrigation scheme (1993-94),0.001 MB
Water Resources,45villagewise-distribution-surface-flow-schemes-its-type,Villagewise Distribution of Surface Flow Schemes by its type for 2nd census of Minor Irrigation Schemes (1993-94),5.15 MB
Water Resources,46blockwise-distribution-surface-flow-schemes-its-status,Blockwise Distribution of Surface Flow Schemes by its status for 2nd census of Minor Irrigation Schemes (1993-94),0.288 MB
Water Resources,46districtwise-distribution-surface-flow-schemes-its-status,Districtwise Distribution of Surface Flow Schemes by its status for 2nd census of Minor Irrigation Schemes (1993-94),0.02 MB
Water Resources,46statewise-distribution-surface-flow-schemes-its-status,Statewise Distribution of Surface Flow Schemes by its status for 2nd census of minor irrigation schemes (1993-94),0.002 MB
Water Resources,46villagewise-distribution-surface-flow-schemes-its-status,Villagewise Distribution of Surface Flow Schemes by its status for 2nd census of Minor Irrigation Schemes (1993-94),5.75 MB
Water Resources,47blockwise-distribution-surface-flow-schemes-according-finance-source,Blockwise Distribution of Surface Flow Schemes according to Finance source for 2nd census of Minor Irrigation Schemes (1993-94),0.271 MB
Water Resources,47districtwise-distribution-surface-flow-schemes-according-finance-source,Districtwise Distribution of Surface Flow Schemes according to Finance source for 2nd census of Minor Irrigation Schemes (1993-94),0.019 MB
Water Resources,47statewise-distribution-surface-flow-schemes-according-finance-source,Statewise Distribution of Surface Flow Schemes according to Finance source for 2nd census of minor irrigation schemes (1993-94),0.001 MB
Water Resources,47villagewise-distribution-surface-flow-schemes-according-finance-source,Villagewise Distribution of Surface Flow Schemes according to Finance source for 2nd census of Minor Irrigation Schemes (1993-94),5.54 MB
Water Resources,48blockwise-surface-flow-schemes-according-water-distribution-system,Blockwise Surface Flow Schemes according to water distribution system for 2nd census of Minor Irrigation Schemes (1993-94),0.26 MB
Water Resources,48districtwise-surface-flow-schemes-according-water-distribution-system,Districtwise Surface Flow Schemes according to water distribution system for 2nd census of Minor Irrigation Schemes (1993-94),0.018 MB
Water Resources,48statewise-surface-flow-schemes-according-water-distribution-system,Statewise Surface Flow Schemes according to water distribution system for 2nd census of minor irrigation schemes (1993-94),0.001 MB
Water Resources,48villagewise-surface-flow-schemes-according-water-distribution-system,Villagewise Surface Flow Schemes according to water distribution system for 2nd census of Minor Irrigation Schemes (1993-94),5.35 MB
Water Resources,49blockwise-surface-flow-schemes-majormedium-project-command,Blockwise Surface Flow Schemes in the major/medium project command for 2nd census of Minor Irrigation Schemes (1993-94),0.234 MB
Water Resources,49districtwise-surface-flow-schemes-majormedium-project-command,Districtwise Surface Flow Schemes in the major/medium project command for 2nd census of Minor Irrigation Schemes (1993-94),0.015 MB
Water Resources,49statewise-surface-flow-schemes-majormedium-project-command,Statewise Surface Flow Schemes in the major/medium project command for 2nd census of Minor Irrigation Schemes (1993-94),0.001 MB
Water Resources,49villagewise-surface-flow-schemes-majormedium-project-command,Villagewise Surface Flow Schemes in the major/medium project command for 2nd census of Minor Irrigation Schemes (1993-94),4.95 MB
Water Resources,511blockwise-surface-lift-schemes-command-majormedium-projects-and-average-pumping-hours,Blockwise surface lift Schemes in the command of major/medium projects and Average pumping hours for 2nd census of minor irrigation schemes (1993-94),0.136 MB
Water Resources,511districtwise-surface-lift-schemes-command-majormedium-projects-and-average-pumping-hours,Districtwise surface lift Schemes in the command of major/medium projects and Average pumping hours for 2nd census of minor irrigation schemes (1993-94),0.017 MB
Water Resources,511statewise-surface-lift-schemes-command-majormedium-projects-and-average-pumping-hours,Statewise surface lift Schemes in the command of major/medium projects and Average pumping hours for 2nd census of minor irrigation schemes (1993-94),0.002 MB
Water Resources,511villagewise-surface-lift-schemes-command-majormedium-projects-and-average-pumping-hours,Villagewise surface lift Schemes in the command of major/medium projects and Average pumping hours for 2nd census of Minor Irrigation Schemes (1993-94),2.94 MB
Water Resources,512blockwise-average-length-water-conveyance-channel-surface-lift-schemes,Blockwise Average length of water conveyance channel of surface lift schemes for 2nd census of minor irrigation schemes (1993-94),0.119 MB
Water Resources,512districtwise-average-length-water-conveyance-channel-surface-lift-schemes,Districtwise Average length of water conveyance channel of surface lift schemes for 2nd census of minor irrigation schemes (1993-94),0.013 MB
Water Resources,512statewise-average-length-water-conveyance-channel-surface-lift-schemes,Statewise Average length of water conveyance channel of surface lift schemes for 2nd census of minor irrigation schemes (1993-94),0.001 MB
Water Resources,512villagewise-average-length-water-conveyance-channel-surface-lift-schemes,Villagewise Average length of water conveyance channel of surface lift schemes for 2nd census of Minor Irrigation Schemes (1993-94),2.5 MB
Water Resources,513blockwise-culturable-command-area-and-potential-created-through-surface-lift-schemes,Blockwise Culturable command area and potential created through surface lift schemes for 2nd census of minor irrigation schemes (1993-94),0.138 MB
Water Resources,513districtwise-culturable-command-area-and-potential-created-through-surface-lift-schemes,Districtwise Culturable command area and potential created through surface lift schemes for 2nd census of minor irrigation schemes (1993-94),0.017 MB
Water Resources,513statewise-culturable-command-area-and-potential-created-through-surface-lift-schemes,Statewise Culturable command area and potential created through surface lift schemes for 2nd census of minor irrigation schemes (1993-94),0.001 MB
Water Resources,513villagewise-culturable-command-area-and-potential-created-through-surface-lift-schemes,Villagewise Culturable command area and potential created through surface lift schemes for 2nd census of Minor Irrigation Schemes (1993-94),2.73 MB
Water Resources,514blockwise-irrigation-potential-utilised-through-surface-lift-schemes,Blockwise Irrigation potential utilised through surface lift schemes for 2nd census of minor irrigation schemes (1993-94),0.125 MB
Water Resources,514districtwise-irrigation-potential-utilised-through-surface-lift-schemes,Districtwise Irrigation potential utilised through surface lift schemes for 2nd census of minor irrigation schemes (1993-94),0.014 MB
Water Resources,514statewise-irrigation-potential-utilised-through-surface-lift-schemes,Statewise Irrigation potential utilised through surface lift schemes for 2nd census of minor irrigation schemes (1993-94),0.001 MB
Water Resources,514villagewise-irrigation-potential-utilised-through-surface-lift-schemes,Villagewise Irrigation potential utilised through surface lift schemes for 2nd census of Minor Irrigation schemes (1993-94),2.57 MB
Water Resources,515blockwise-irrigation-through-supplementary-sources,Blockwise Irrigation through supplementary sources under surface lift schemes for 2nd census of minor irrigation schemes (1993-94),0.116 MB
Water Resources,515districtwise-irrigation-through-supplementary-sources,Districtwise Irrigation through supplementary sources under surface lift schemes for 2nd census of minor irrigation schemes (1993-94),0.012 MB
Water Resources,515statewise-irrigation-through-supplementary-sources,Statewise Irrigation through supplementary sources for 2nd census of minor irrigation schemes (1993-94),0.001 MB
Water Resources,515villagewise-irrigation-through-supplementary-sources,Villagewise Irrigation through supplementary sources under surface lift schemes for 2nd census of Minor Irrigation Schemes (1993-94),2.52 MB
Water Resources,516blockwise-surface-lift-schemes-according-constraints,Blockwise Surface lift Schemes according to the constraints for 2nd census of minor irrigation schemes (1993-94),0.148 MB
Water Resources,516districtwise-surface-lift-schemes-according-constraints,Districtwise Surface lift Schemes according to the constraints for 2nd census of minor irrigation schemes (1993-94),0.018 MB
Water Resources,516statewise-surface-lift-schemes-according-constraints,Statewise Surface lift Schemes according to the constraints for 2nd census of minor irrigation schemes (1993-94),0.002 MB
Water Resources,516villagewise-surface-lift-schemes-according-constraints,Villagewise Surface lift Schemes according to the constraints for 2nd census of minor irrigation schemes (1993-94),3.05 MB
Water Resources,51blockwise-distribution-surface-lift-schemes-according-construction-over-years,Blockwise Distribution of surface lift schemes according to construction over the years for 2nd census of minor irrigation schemes (1993-94),0.127 MB
Water Resources,51blockwise-distribution-surface-lift-schemes-according-horsepower,Blockwise Distribution of surface lift schemes according to horsepower for 2nd census of minor irrigation schemes (1993-94),0.136 MB
Water Resources,51districtwise-distribution-surface-lift-schemes-according-construction-over-years,Districtwise Distribution of surface lift schemes according to construction over the years for 2nd census of minor irrigation schemes (1993-94),0.017 MB
Water Resources,51districtwise-distribution-surface-lift-schemes-according-horsepower,Districtwise Distribution of surface lift schemes according to horsepower for 2nd census of minor irrigation schemes (1993-94),0.016 MB
Water Resources,51statewise-distribution-surface-lift-schemes-according-construction-over-years,Statewise Distribution of surface lift schemes according to construction over the years for 2nd census of Minor Irrigation Schemes (1993-94),0.002 MB
